,Under 10,10s,20s,30s,40s,50s,60s,70s,80s,Over 90
2020-09-02,0.0,0.0017573721762794924,0.012247722433949053,0.009078117198493033,0.006696761507014858,0.0044526901669758815,0.005591193440239819,0.0044388262199534885,0.007476293918034897,0.0
2020-09-09,0.004881859011911736,0.00602527603295826,0.013472494677343958,0.011446321685056432,0.009131947509565716,0.006926406926406926,0.0034407344247629657,0.0025089017764954504,0.004984195945356599,0.0
2020-09-16,0.0,0.002510531680399275,0.011839465019484085,0.007499314207450766,0.005479168505739429,0.0044526901669758815,0.005591193440239819,0.003087879109532862,0.004984195945356599,0.0
2020-09-23,0.0,0.0,0.008573405703764338,0.006709912711929633,0.005783566756058286,0.0041228612657184084,0.004946055735596763,0.0023159093321496464,0.002907447634791349,0.0
2020-09-30,0.0,0.0027615848484392027,0.00959404923992676,0.004933759347007083,0.004718172879942286,0.005277262420119563,0.0045159639325013925,0.0023159093321496464,0.002907447634791349,0.0
2020-10-07,0.0025845135945415073,0.0022594785123593473,0.008573405703764338,0.006709912711929633,0.0060879650063771435,0.004782519068233354,0.004085872129406021,0.002894886665187058,0.0024920979726782994,0.0
2020-10-14,0.0,0.005523169696878405,0.006327989924207011,0.006512562338049349,0.0038049781289857146,0.006431663574520717,0.0034407344247629657,0.0019299244434580387,0.003322797296904399,0.0
2020-10-21,0.0014358408858563929,0.004518957024718695,0.013880752091808928,0.0094728179462536,0.008370951883768572,0.006596578025149453,0.006881468849525931,0.005596780886028312,0.007476293918034897,0.015877048139209957
2020-10-28,0.0,0.007280541873157897,0.017555068821993643,0.016774781779824083,0.012632527388232572,0.013193156050298907,0.012257616388218064,0.005596780886028312,0.006230244931695748,0.0
2020-11-04,0.0022973454173702288,0.00803370137727768,0.028782147719780275,0.014406577293260682,0.01187153176243543,0.013852813852813853,0.01204257048667038,0.010228599550327604,0.007476293918034897,0.0
2020-11-11,0.005456195366254293,0.01405897741023594,0.02755737547638537,0.016774781779824083,0.013241323888870287,0.01797567511853226,0.016988626222267142,0.012351516438131448,0.011629790539165396,0.0
2020-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-16,0.007179204429281965,0.01682056225867514,0.03225233574273251,0.02565554860443683,0.01826389501913143,0.019294990723562153,0.01999926884393474,0.018720267101542974,0.026167028713122143,0.034929505906261905
2020-12-22,0.004020354480397901,0.010544233057676955,0.03225233574273251,0.02269529299623258,0.021307877522320003,0.02209853638425067,0.015913396714528717,0.019299244434580386,0.02990517567213959,0.028578686650577924
2020-12-30,0.004881859011911736,0.013807924242196012,0.03327297927889493,0.027037001221598814,0.02359086439971143,0.01665635951350237,0.01290275409286112,0.018913259545888777,0.02699772803734824,0.031754096278419915
2021-01-06,0.012635399795536259,0.052470112120344845,0.1049221555174969,0.05466605356483848,0.03211401540863943,0.03924963924963925,0.03161174752750975,0.023352085765842266,0.03156657432059179,0.06033278292899784
2021-01-13,0.017230090630276716,0.0401685068863884,0.07103679011690452,0.03986477552381723,0.03454920141119029,0.03578643578643579,0.03010642621667595,0.027790911985795756,0.04361171452187024,0.047631144417629875
2021-01-20,0.016081417921591602,0.04041956005442833,0.05756429543956055,0.031378709446965046,0.02907003290545086,0.02836528550814265,0.0249453245795315,0.026246972431029324,0.03488937161749619,0.050806554045471866
2021-01-27,0.009763718023823472,0.022594785123593475,0.026332603232990467,0.020919139631310032,0.018568293269450288,0.021933621933621934,0.019139085237743995,0.02103617643369262,0.03032052533425264,0.050806554045471866
2021-02-03,0.0037331863032266216,0.013305817906116157,0.013676623384576442,0.011841022432816999,0.012023730887594859,0.01302824159967017,0.01290275409286112,0.013123486215514662,0.022844231416217744,0.022227867394893942
2021-02-10,0.0031588499488840647,0.004518957024718695,0.014901395627971348,0.012630423928338132,0.010653938761160001,0.010554524840239126,0.008171744258812043,0.008877652439906977,0.011629790539165396,0.015877048139209957
2021-02-17,0.0028716817717127857,0.005523169696878405,0.006327989924207011,0.005723160842528216,0.005326969380580001,0.0074211502782931356,0.006666422947978246,0.006368750663411527,0.014952587836069795,0.028578686650577924
2021-02-24,0.003446018126055343,0.003514744352558985,0.009798177947159243,0.008486066076852183,0.004718172879942286,0.003793032364460936,0.004731009834049078,0.006754735552103135,0.0070609442559218475,0.0
2021-03-03,0.0,0.00401685068863884,0.00959404923992676,0.009867518694014166,0.005022571130261143,0.0072562358276643995,0.007956698357264359,0.004631818664299293,0.007891643580147947,0.0
2021-03-10,0.0028716817717127857,0.00602527603295826,0.01061469277608918,0.008091365329091616,0.007153358882493143,0.006431663574520717,0.010107157372741211,0.00752670532948635,0.010799091214939298,0.015877048139209957
2021-03-17,0.0,0.011799498897876593,0.02510783098959556,0.010459569815655016,0.010349540510841145,0.01220366934652649,0.010107157372741211,0.005403788441682508,0.006230244931695748,0.0
2021-03-24,0.010625222555337308,0.030377433332831227,0.0685872456301147,0.03887802365441581,0.027243643403537715,0.020119562976705835,0.01720367212381483,0.014281440881589487,0.016198636822408945,0.0
2021-03-31,0.014071240681392651,0.057491175481143394,0.1410529366976466,0.06848057973645831,0.04916031742649543,0.046340960626674914,0.035482573755368084,0.022580115988459052,0.022428881754104693,0.05398196367331386
2021-04-07,0.0241221268823874,0.0675333022027405,0.16840618346679948,0.10242484404386704,0.08401391708800458,0.07816944959802102,0.04967560325751531,0.037633526647431755,0.04361171452187024,0.044455734789787885
