Week,Under 10,10s,20s,30s,40s,50s,60s,70s,80s,Over 90
2020/9/2~2020/9/8,0,20,125,91,74,52,46,43,38,16
2020/9/9~2020/9/15,38,36,125,104,88,69,34,26,30,0
2020/9/16~2020/9/22,7,20,113,71,70,52,39,29,27,7
2020/9/23~2020/9/29,8,8,94,62,61,40,36,27,19,0
2020/9/30~2020/10/6,0,29,103,51,55,51,32,23,7,0
2020/10/7~2020/10/13,17,24,96,49,58,48,25,15,6,0
2020/10/14~2020/10/20,0,36,78,57,57,63,29,25,14,5
2020/10/21~2020/10/27,12,31,147,84,93,75,51,59,42,18
2020/10/28~2020/11/3,0,54,180,145,135,139,87,55,45,12
2020/11/4~2020/11/10,8,52,250,137,143,155,94,96,57,15
2020/11/11~2020/11/17,19,105,297,181,172,175,133,120,64,19
2020/11/18~2020/11/24,0,0,0,0,0,0,0,0,0,0
2020/11/25~2020/12/1,0,0,0,0,0,0,0,0,0,0
2020/12/2~2020/12/8,0,0,0,0,0,0,0,0,0,0
2020/12/9~2020/12/15,0,0,0,0,0,0,0,0,0,0
2020/12/16~2020/12/22,50,111,308,224,217,247,190,197,168,65
2020/12/22~2020/12/28,36,86,316,193,243,249,156,214,172,36
2020/12/30~2021/1/5,47,102,338,239,233,203,136,182,130,44
2021/1/6~2021/1/12,79,318,880,492,407,437,278,253,179,74
2021/1/13~2021/1/19,119,266,703,387,402,423,258,303,248,78
2021/1/20~2021/1/26,101,257,521,309,358,350,211,268,203,79
2021/1/27~2021/2/2,69,159,267,190,231,264,165,223,194,49
2021/2/3~2021/2/9,32,85,146,114,150,149,112,136,124,33
2021/2/10~2021/2/16,21,36,134,108,115,107,81,79,61,20
2021/2/17~2021/2/23,15,38,94,67,68,77,64,64,55,28
2021/2/24~2021/3/2,12,26,90,76,54,43,41,57,47,19
2021/3/3~2021/3/9,7,33,89,85,86,82,64,50,42,7
2021/3/10~2021/3/16,16,42,113,84,86,87,83,73,62,18
2021/3/17~2021/3/23,0,122,222,108,130,146,84,64,45,18
2021/3/24~2021/3/30,73,231,643,323,313,240,155,143,79,0
2021/3/31~2021/4/6,109,398,1207,589,591,552,321,253,135,40
2021/4/7~2021/4/13,183,531,1594,903,981,889,440,442,282,84
2021/4/14~2021/4/20,291,663,1705,1085,1184,1146,608,555,382,114
2021/4/21~2021/4/27,288,643,1495,1036,1172,1052,603,596,417,121
2021/4/28~2021/5/4,276,524,1300,908,1014,969,652,565,403,105
2021/5/5~2021/5/11,196,459,1081,736,812,783,530,562,393,151
2021/5/12~2021/5/18,179,333,882,572,633,587,364,395,230,101
2021/5/19~2021/5/25,89,149,488,355,330,349,226,217,167,58
2021/5/26~2021/6/1,54,123,309,229,254,174,128,131,103,32
2021/6/2~2021/6/8,45,111,226,172,169,145,101,89,79,28
2021/6/9~2021/6/15,33,60,190,123,126,99,63,49,46,0
2021/6/16~2021/6/22,7,41,177,68,111,92,44,54,29,6
2021/6/23~2021/6/29,30,53,148,112,127,83,45,35,34,0
2021/6/30~2021/7/6,38,60,189,133,149,89,46,35,26,0
2021/7/7~2021/7/13,29,149,376,171,158,148,45,30,11,0
2021/7/14~2021/7/20,56,309,735,309,324,250,90,34,12,0
2021/7/21~2021/7/27,138,367,1043,583,516,382,138,51,15,0
2021/7/28~2021/8/3,284,686,1940,1102,970,750,194,81,51,0
2021/8/4~2021/8/10,453,922,2080,1380,1249,924,270,97,51,14
2021/8/11~2021/8/17,739,1498,3297,2042,1801,1267,399,193,109,36
2021/8/18~2021/8/24,1037,2432,4963,2591,2357,1654,513,251,168,51
2021/8/25~2021/8/31,1539,2856,4498,2910,2665,1788,535,359,221,44
2021/9/1~2021/9/7,1275,2164,3229,2343,2170,1488,498,330,224,59
2021/9/8~2021/9/14,844,1324,1840,1425,1304,877,333,242,155,44
2021/9/15~2021/9/21,505,638,900,682,630,404,168,129,96,28
2021/9/22~2021/9/28,302,363,594,428,390,263,114,110,64,0
2021/9/29~2021/10/5,188,183,292,259,191,159,74,58,44,0
2021/10/6~2021/10/12,95,99,179,130,123,101,49,44,57,26
2021/10/13~2021/10/19,63,60,135,87,74,49,30,22,19,0
2021/10/20~2021/10/26,44,36,73,51,45,26,23,0,12,0
2021/10/27~2021/11/2,42,42,60,49,33,31,25,14,13,0
2021/11/3~2021/11/9,16,20,37,35,27,29,5,20,23,9
2021/11/10~2021/11/16,44,18,21,21,24,24,5,0,6,0
2021/11/17~2021/11/23,13,20,22,18,16,10,5,0,9,0
2021/11/24~2021/11/30,18,14,6,7,0,5,0,7,0,0
2021/12/1~2021/12/7,16,9,18,5,12,5,0,5,0,0
2021/12/8~2021/12/14,5,5,18,17,14,0,0,0,0,0
2021/12/15~2021/12/21,5,6,21,23,19,6,0,0,0,0
2021/12/22~2021/12/28,19,34,40,36,20,21,14,7,9,0
2021/12/29~2022/1/4,56,70,127,89,69,57,22,21,13,0
2022/1/5~2022/1/11,239,515,1554,710,501,404,175,137,92,37
2022/1/12~2022/1/18,1947,3693,8000,3262,2797,2027,792,552,324,127
2022/1/19~2022/1/25,5649,7554,10762,6982,6247,4294,2042,1422,920,351
2022/1/26~2022/2/1,7888,9747,10005,8570,8642,5781,3053,2551,1680,640
2022/2/2~2022/2/8,8364,9696,9129,9050,9420,6414,3812,3216,2270,860
2022/2/9~2022/2/15,8765,10235,8816,9136,9776,6701,3966,3491,2733,1135
2022/2/16~2022/2/22,9077,10119,8387,8978,9391,6196,3546,3252,2679,1098
2022/2/23~2022/3/1,7468,7626,6242,6891,7343,4652,2534,2108,1931,759
2022/3/2~2022/3/8,6412,6625,5587,5818,5904,3929,1925,1695,1321,570
2022/3/9~2022/3/15,5892,5675,4628,4930,4955,3121,1406,1044,899,333
2022/3/16~2022/3/22,3411,3665,3147,3240,3265,1861,780,627,521,185
