month,Under 10,10s,20s,30s,40s,50s,60s,70s,80s,Over 90
2020-10-01,665204,772484,975139,998837,1315542,1205715,978154,1167762,627528,131320
2020-11-01,675231,773622,978184,1012320,1324084,1212932,966263,1150661,614144,127957
2020-12-01,674170,773192,979774,1011432,1320650,1216484,963486,1149951,616983,128865
2021-01-01,672841,772570,982371,1010755,1316566,1220735,960694,1149594,619770,129608
2021-02-01,671200,771724,983299,1010139,1312504,1224092,957045,1148019,623347,130791
2021-03-01,669599,770203,982461,1008822,1308675,1227011,954400,1146806,626822,131885
2021-04-01,667974,769999,983061,1007064,1304506,1230129,951661,1145585,629780,133309
2021-05-01,667741,769707,983654,1006207,1301211,1234209,950156,1144536,632075,133873
2021-06-01,666610,768346,982888,1005109,1297646,1238313,948579,1143388,633785,134192
2021-07-01,665589,767402,982151,1004206,1293979,1242504,947224,1142429,635988,134605
2021-08-01,664613,765880,981830,1003271,1289745,1247059,945687,1141352,639042,135371
2021-09-01,663768,764703,980920,1002179,1285380,1251302,944595,1139570,642133,135990
2021-10-01,662785,763355,980397,1000884,1281577,1255284,943659,1137463,645120,136756
2021-11-01,661723,762021,980087,999794,1277870,1259275,942399,1135546,648337,137569
2021-12-01,661180,760923,979587,998981,1273832,1262859,941126,1133149,651514,138111
2022-01-01,659851,759648,978939,997892,1269541,1266079,940408,1131039,654887,138869
