Week,Under 10,10s,20s,30s,40s,50s,60s,70s,80s,Over 90
2020/9/2~2020/9/8,0,13,65,45,30,25,20,20,20,16
2020/9/9~2020/9/15,21,12,59,46,28,27,18,13,18,0
2020/9/16~2020/9/22,7,10,55,33,34,25,13,13,15,7
2020/9/23~2020/9/29,8,8,52,28,23,15,13,15,12,0
2020/9/30~2020/10/6,0,18,56,26,24,19,11,11,0,0
2020/10/7~2020/10/13,8,15,54,15,18,19,6,0,0,0
2020/10/14~2020/10/20,0,14,47,24,32,24,13,15,6,5
2020/10/21~2020/10/27,7,13,79,36,38,35,19,30,24,13
2020/10/28~2020/11/3,0,25,94,60,52,59,30,26,30,12
2020/11/4~2020/11/10,0,20,109,64,65,71,38,43,39,15
2020/11/11~2020/11/17,0,49,162,96,85,66,54,56,36,19
2020/11/18~2020/11/24,0,0,0,0,0,0,0,0,0,0
2020/11/25~2020/12/1,0,0,0,0,0,0,0,0,0,0
2020/12/2~2020/12/8,0,0,0,0,0,0,0,0,0,0
2020/12/9~2020/12/15,0,0,0,0,0,0,0,0,0,0
2020/12/16~2020/12/22,25,44,150,94,97,130,97,100,105,54
2020/12/22~2020/12/28,22,44,158,78,103,115,82,114,100,27
2020/12/30~2021/1/5,30,47,175,102,78,102,76,84,65,34
2021/1/6~2021/1/12,35,109,366,215,196,199,131,132,103,55
2021/1/13~2021/1/19,59,106,355,185,175,206,118,159,143,63
2021/1/20~2021/1/26,45,96,239,150,167,178,95,132,119,63
2021/1/27~2021/2/2,35,69,138,84,109,131,76,114,121,33
2021/2/3~2021/2/9,19,32,79,54,71,70,52,68,69,26
2021/2/10~2021/2/16,10,18,61,44,45,43,43,33,33,15
2021/2/17~2021/2/23,5,16,63,38,33,32,33,31,19,19
2021/2/24~2021/3/2,0,12,42,33,23,20,19,22,30,19
2021/3/3~2021/3/9,7,17,42,35,53,38,27,26,23,7
2021/3/10~2021/3/16,6,18,61,43,39,48,36,34,36,13
2021/3/17~2021/3/23,0,75,99,55,62,72,37,36,30,18
2021/3/24~2021/3/30,36,110,307,126,134,118,75,69,40,0
2021/3/31~2021/4/6,60,169,516,242,268,271,156,136,81,23
2021/4/7~2021/4/13,99,262,769,384,429,415,209,247,177,70
2021/4/14~2021/4/20,138,328,781,459,543,536,275,288,247,92
2021/4/21~2021/4/27,127,307,714,439,523,488,270,303,269,90
2021/4/28~2021/5/4,130,232,649,417,482,468,330,295,212,78
2021/5/5~2021/5/11,101,176,517,325,359,376,261,274,225,113
2021/5/12~2021/5/18,84,140,408,277,298,286,178,217,148,75
2021/5/19~2021/5/25,47,63,239,161,154,164,100,104,102,43
2021/5/26~2021/6/1,25,53,140,104,122,76,63,64,59,24
2021/6/2~2021/6/8,19,56,106,71,77,65,48,39,50,18
2021/6/9~2021/6/15,17,24,84,51,46,39,34,22,22,0
2021/6/16~2021/6/22,0,17,89,25,35,44,13,19,14,6
2021/6/23~2021/6/29,12,22,73,47,52,39,18,21,19,0
2021/6/30~2021/7/6,14,27,85,52,55,33,26,18,17,0
2021/7/7~2021/7/13,15,57,162,68,47,65,18,18,11,0
2021/7/14~2021/7/20,30,144,336,112,138,105,39,18,12,0
2021/7/21~2021/7/27,72,184,475,225,198,172,57,24,15,0
2021/7/28~2021/8/3,140,324,858,445,420,342,98,37,35,0
2021/8/4~2021/8/10,212,459,996,609,517,410,123,56,30,9
2021/8/11~2021/8/17,349,716,1528,898,802,587,168,106,66,26
2021/8/18~2021/8/24,505,1137,2123,1098,1043,796,248,138,105,33
