,Under 10,10s,20s,30s,40s,50s,60s,70s,80s,Over 90
2020-09-02,0.0,0.0025890503880986533,0.012818685336141823,0.009110595622709211,0.005625057960901287,0.004312793653558262,0.004702735970000634,0.0036822571722662668,0.006055506686554225,0.012183978068839476
2020-09-09,0.005712533298055935,0.004660290698577576,0.012818685336141823,0.01041210928309624,0.006689258115666395,0.005722745424913848,0.0034759352821743814,0.0022264810809051842,0.004780663173595441,0.0
2020-09-16,0.0010523087654313564,0.0025890503880986533,0.011588091543872208,0.007108266914421472,0.005321000773825541,0.004312793653558262,0.00398710223543532,0.002483382744086552,0.004302596856235897,0.005330490405117271
2020-09-23,0.0012026385890644073,0.0010356201552394614,0.00963965137277865,0.006207218995691989,0.004636872102905114,0.0033175335796602015,0.003680402063478757,0.002312114968632307,0.0030277533432771127,0.0
2020-09-30,0.0,0.003754123062743047,0.01056259671698086,0.005105938206133733,0.004180786322291497,0.004229855314066757,0.003271468500870006,0.001969579417723817,0.0011154880738389363,0.0
2020-10-07,0.002576339203850566,0.003159358018450651,0.009806535442964271,0.004910351019950055,0.004568580297918697,0.003791232616606073,0.002658420600420243,0.0013262142154249323,0.0009161885943681887,0.0
2020-10-14,0.0,0.004739037027675976,0.00796781004740847,0.00571204098239088,0.0044898116720925125,0.00497599280929547,0.003083767896487482,0.0022103570257082203,0.002137773386859107,0.003600515593833037
2020-10-21,0.001818592379188635,0.004080837440498758,0.015016257397039039,0.008417744605628665,0.007325482201835151,0.005923800963446989,0.005423178024857296,0.005216442580671401,0.006413320160577321,0.012961856137798933
2020-10-28,0.0,0.007108555541513965,0.018387253955558007,0.014530630569239958,0.010633764486534898,0.01097877778558842,0.009251303689462446,0.004862785456558085,0.006871414457761416,0.008641237425199289
2020-11-04,0.00121239491945909,0.006845275706643077,0.025537852716052786,0.013728940606799132,0.011263913493144373,0.012242521991123776,0.009995661457580114,0.008487770978719566,0.008703791646497793,0.01080154678149911
2020-11-11,0.002879437933715339,0.013822191330721597,0.03033896902667071,0.018138235400223673,0.013548203642103721,0.013822202248042974,0.014142797594235694,0.010609713723399458,0.009772678339927347,0.01368195925656554
2020-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-16,0.007577468246619312,0.01461203083533426,0.03146263454617704,0.022447318948343106,0.01709279180428202,0.019509051172952083,0.020203996563193848,0.017417613362580776,0.025653280642309283,0.04680670271982948
2020-12-22,0.005455777137565905,0.011321032899448165,0.03227984583309072,0.01934077034388491,0.019140776075762814,0.019667019198644,0.016588544546622317,0.01892065614006237,0.02626407303855474,0.025923712275597866
2020-12-30,0.007122820151822154,0.013427271578415266,0.03452717687210337,0.023950487627919653,0.01835308981750097,0.01603375460772985,0.014461808066286122,0.016091399147155846,0.019850752877977423,0.031684537225730725
2021-01-06,0.011972399829658514,0.04186149374447112,0.08989324156050581,0.049303932690110755,0.032058830711257064,0.034516013613684456,0.029561637076673104,0.022368813100167192,0.027332959731984297,0.053287630788728946
2021-01-13,0.018034374426953964,0.03501621803782805,0.07181244183754044,0.03878175193307492,0.03166498758212614,0.033410237433841014,0.02743490059633691,0.02678952715158363,0.03786912856721847,0.056168043263795375
2021-01-20,0.015306485858171012,0.033831458780909054,0.05322088506025401,0.030965274799276875,0.028199168045774024,0.027644404496085948,0.02243706986754685,0.023695027315592122,0.03099771410945705,0.05688814638256198
2021-01-27,0.010456906180334652,0.02093074687223556,0.027274426700744377,0.0190401366079696,0.0181955525658486,0.0208517793913334,0.017545575962773605,0.019716384669317327,0.02962343121790477,0.03528505281956376
2021-02-03,0.00484957967783636,0.011189392982012722,0.014914105986174828,0.01142408196478176,0.011815293873927664,0.011768617914048018,0.011909724289882689,0.01202434221985272,0.018934564283609234,0.023763402919298043
2021-02-10,0.003182536663580111,0.004739037027675976,0.013688289055804295,0.010822814492951142,0.00905839197001121,0.008451289374517704,0.008613282745361588,0.006984728201237977,0.009314584042743252,0.014402062375332148
2021-02-17,0.002273240473985794,0.0050023168625468635,0.009602232621235848,0.006714153435441911,0.005356266556180541,0.006081768989138908,0.006805556737075822,0.0056585139858130445,0.008398395448375064,0.020162887325465007
2021-02-24,0.001818592379188635,0.0034226378533215385,0.009193626977779003,0.00761605464318784,0.004253505794613959,0.0033963125523762735,0.004359809784689199,0.005039614018614743,0.007176810655884145,0.01368195925656554
2021-03-03,0.0010608455545267038,0.004344117275369645,0.009091475566914793,0.008517955850933769,0.0067741018210518604,0.006476689053368708,0.006805556737075822,0.004420714051416441,0.006413320160577321,0.005040721831366252
2021-03-10,0.00242478983891818,0.005528876532288639,0.01154310942765586,0.008417744605628665,0.0067741018210518604,0.006871609117598507,0.008825956393395206,0.006454242515068004,0.009467282141804617,0.012961856137798933
2021-03-17,0.0,0.01606006992712414,0.022677613211854877,0.010822814492951142,0.010239921357403975,0.011531665875510138,0.008932293217412016,0.0056585139858130445,0.006871414457761416,0.012961856137798933
2021-03-24,0.011063103640064196,0.030408820927587513,0.06568335718568777,0.03236823223354832,0.024654579883595724,0.018956163083030365,0.01648220772260551,0.012643242187051021,0.012063149825847818,0.0
2021-03-31,0.016518880777630102,0.05239268713930663,0.12329675291310285,0.05902442348470576,0.04655225786327499,0.04359917509096984,0.034134120509395925,0.022368813100167192,0.020614243373284245,0.028804124750664295
2021-04-07,0.027733533782626683,0.06990079615822065,0.16282934891755257,0.09049075451050816,0.07727202193548692,0.07021678742005831,0.04678820256739628,0.03907911221452134,0.043060863935304866,0.06048866197639502
2021-04-14,0.0441008651953244,0.08727726525969923,0.17416815552348,0.10872920115603693,0.09326205297820236,0.09051567872146998,0.06465278900222031,0.049069925970722496,0.05833067384144135,0.08209175553939324
2021-04-21,0.04364621710052724,0.08464446691099035,0.15271635924199567,0.10381885013608687,0.09231682946828815,0.08309118151394976,0.06412110488213627,0.052694911492883974,0.06367510730858912,0.08713247737075949
2021-04-28,0.04182762472133861,0.06897931673617254,0.13279683412347448,0.09099181073703366,0.079871386587751,0.07653550844773509,0.06933160925895994,0.049954068781005785,0.06153733392173001,0.07561082747049377
2021-05-05,0.029703675526747707,0.0604227221028687,0.11042567514421225,0.07375547654455593,0.06396012417086175,0.06184448205838656,0.05635851672890915,0.049688825937920796,0.06001035293111636,0.10873557093375771
2021-05-12,0.027127336322897138,0.04383609250600278,0.09009754438223423,0.057320832314519,0.04986054014797474,0.04636361554057843,0.03870660394211874,0.03492364100618989,0.0351205627841139,0.07273041499542734
2021-05-19,0.013487893478982377,0.019614347697881125,0.049849888501735044,0.03557499208331162,0.02599364652264086,0.027565420483239986,0.024032122227798998,0.019185898983147355,0.02550058254324792,0.04176598088846323
2021-05-26,0.008183665706348858,0.016191709844559584,0.03156478595704124,0.022948375174868623,0.020007230959850842,0.013743218235197014,0.013611113474151644,0.011582270814711075,0.015727904203320573,0.023043299800531436
2021-06-02,0.006819721421957381,0.01461203083533426,0.02308621885531172,0.017236334192477745,0.013311897764625168,0.011452681862664179,0.010740019225697782,0.007868871011521264,0.012063149825847818,0.020162887325465007
2021-06-09,0.005001129042768746,0.007898395046126628,0.019408768064200117,0.012325983172527689,0.009924846854099237,0.007819417271750026,0.006699219913059012,0.004332299770388112,0.0070241125568227805,0.0
2021-06-16,0.0010608455545267038,0.005397236614853195,0.018080799722965373,0.006814364680747015,0.00874331746670647,0.007266529181828306,0.004678820256739628,0.004774371175529756,0.004428244872779579,0.004320618712599644
2021-06-23,0.004546480947971588,0.006976915624078521,0.015118408807903251,0.011223659474171553,0.010003615479925421,0.006555673066214667,0.004785157080756438,0.0030944998359915088,0.005191735368086403,0.0
2021-06-30,0.005758875867430678,0.007898395046126628,0.01930661665333591,0.01332809562557872,0.01173652524810148,0.007029577143290427,0.004891493904773247,0.0030944998359915088,0.003970150575595484,0.0
2021-07-07,0.0043949315830392015,0.019614347697881125,0.03840893048494339,0.01713612294717264,0.012445442880537139,0.011689633901202057,0.004785157080756438,0.0026524284308498645,0.0016796790896750125,0.0
2021-07-14,0.00848676443621363,0.04067673448755213,0.0750812869851952,0.030965274799276875,0.025521034767683755,0.019746003211489963,0.009570314161512876,0.00300608555496318,0.0018323771887363775,0.0
2021-07-21,0.020913812360669304,0.04831184969880787,0.10654392153137222,0.05842315601287514,0.040644610926311164,0.03017189290715666,0.014674481714319742,0.00450912833244477,0.002290471485920472,0.0
2021-07-28,0.0430400196407977,0.09030498336071444,0.19817373707656963,0.11043279232622367,0.07640556705139889,0.05923800963446989,0.020629343859261087,0.0071615567632946344,0.007787603052129604,0.0
2021-08-04,0.06865186231437097,0.12137200387547917,0.2124749345975592,0.13829151852104235,0.09838201365690434,0.0729812278696669,0.028710942484538624,0.008576185259747895,0.007787603052129604,0.010081443662732503
2021-08-11,0.11199498068503344,0.19719659631829478,0.33679320161930415,0.20463136291302064,0.14186229511295814,0.10007274427583113,0.04242839278270708,0.017063956238467463,0.01664409279768876,0.025923712275597866
2021-08-18,0.15715669143488453,0.32014827920299926,0.50697745211908,0.2596473365855223,0.1856576510723167,0.1306395572472176,0.05455079072062339,0.022191984538110533,0.025653280642309283,0.036725259057096976
2021-08-25,0.23323447263094244,0.37596360419562747,0.4594770460672218,0.2916147238378502,0.2099183878267815,0.1412234149685762,0.056890200848993204,0.03174072688917005,0.03374627989256162,0.031684537225730725
2021-09-01,0.19322544028879246,0.28486878133030036,0.3298469056805378,0.2347949477498567,0.1709279180428202,0.11752821111478826,0.05295573836037124,0.02917671273934851,0.034204374189745715,0.042486084007229835
2021-09-08,0.127907664002934,0.17429125068452758,0.18795859599014852,0.142801024559772,0.10271428807734449,0.06926897926590679,0.03541016239759764,0.021396256008855575,0.023668205354511543,0.031684537225730725
