month,Under 10,10s,20s,30s,40s,50s,60s,70s,80s,Over 90
2020-10-01,325365,378276,491337,503124,665516,609347,505189,641799,382876,98900
2020-11-01,331434,379770,493436,510148,669344,611426,499520,634061,374997,96634
2020-12-01,330928,379593,494141,509577,667674,613185,498031,633697,376668,97230
2021-01-01,330295,379183,495193,509284,665525,615423,496566,633429,378255,97744
2021-02-01,329380,378799,495489,508984,663414,617216,494386,632670,380346,98604
2021-03-01,328627,378037,495092,508269,661392,618830,492723,632105,382233,99409
2021-04-01,327828,378155,496525,507499,659526,620394,491212,631455,383879,100375
2021-05-01,327695,378225,496937,507019,657916,622319,490463,630911,385213,100755
2021-06-01,327085,377521,496528,506494,656104,624435,489533,630433,386288,101009
2021-07-01,326504,377130,496148,506027,654282,626596,488844,629883,387646,101269
2021-08-01,325982,376405,495854,505558,652304,628817,487878,629337,389371,101782
2021-09-01,325585,375783,495286,505063,650085,631090,487156,628414,391245,102204
2021-10-01,325065,375195,495007,504449,648242,633113,486620,627283,392965,102688
2021-11-01,324519,374491,494976,503854,646375,635149,485889,626302,394797,103249
2021-12-01,324192,373966,494775,503536,644299,636931,485064,625131,396651,103559
2022-01-01,323602,373298,494427,503018,642159,638699,484573,624011,398611,104029
