Week,Under 10,10s,20s,30s,40s,50s,60s,70s,80s,Over 90
2020/9/2~2020/9/8,0,7,60,46,44,27,26,23,18,0
2020/9/9~2020/9/15,17,24,66,58,60,42,16,13,12,0
2020/9/16~2020/9/22,0,10,58,38,36,27,26,16,12,0
2020/9/23~2020/9/29,0,0,42,34,38,25,23,12,7,0
2020/9/30~2020/10/6,0,11,47,25,31,32,21,12,7,0
2020/10/7~2020/10/13,9,9,42,34,40,29,19,15,6,0
2020/10/14~2020/10/20,0,22,31,33,25,39,16,10,8,0
2020/10/21~2020/10/27,5,18,68,48,55,40,32,29,18,5
2020/10/28~2020/11/3,0,29,86,85,83,80,57,29,15,0
2020/11/4~2020/11/10,8,32,141,73,78,84,56,53,18,0
2020/11/11~2020/11/17,19,56,135,85,87,109,79,64,28,0
2020/11/18~2020/11/24,0,0,0,0,0,0,0,0,0,0
2020/11/25~2020/12/1,0,0,0,0,0,0,0,0,0,0
2020/12/2~2020/12/8,0,0,0,0,0,0,0,0,0,0
2020/12/9~2020/12/15,0,0,0,0,0,0,0,0,0,0
2020/12/16~2020/12/22,25,67,158,130,120,117,93,97,63,11
2020/12/22~2020/12/28,14,42,158,115,140,134,74,100,72,9
2020/12/30~2021/1/5,17,55,163,137,155,101,60,98,65,10
2021/1/6~2021/1/12,44,209,514,277,211,238,147,121,76,19
2021/1/13~2021/1/19,60,160,348,202,227,217,140,144,105,15
2021/1/20~2021/1/26,56,161,282,159,191,172,116,136,84,16
2021/1/27~2021/2/2,34,90,129,106,122,133,89,109,73,16
2021/2/3~2021/2/9,13,53,67,60,79,79,60,68,55,7
2021/2/10~2021/2/16,11,18,73,64,70,64,38,46,28,5
2021/2/17~2021/2/23,10,22,31,29,35,45,31,33,36,9
2021/2/24~2021/3/2,12,14,48,43,31,23,22,35,17,0
2021/3/3~2021/3/9,0,16,47,50,33,44,37,24,19,0
2021/3/10~2021/3/16,10,24,52,41,47,39,47,39,26,5
2021/3/17~2021/3/23,0,47,123,53,68,74,47,28,15,0
2021/3/24~2021/3/30,37,121,336,197,179,122,80,74,39,0
2021/3/31~2021/4/6,49,229,691,347,323,281,165,117,54,17
2021/4/7~2021/4/13,84,269,825,519,552,474,231,195,105,14
2021/4/14~2021/4/20,153,335,924,626,641,610,333,267,135,22
2021/4/21~2021/4/27,161,336,781,597,649,564,333,293,148,31
2021/4/28~2021/5/4,146,292,651,491,532,501,322,270,191,27
2021/5/5~2021/5/11,95,283,564,411,453,407,269,288,168,38
2021/5/12~2021/5/18,95,193,474,295,335,301,186,178,82,26
2021/5/19~2021/5/25,42,86,249,194,176,185,126,113,65,15
2021/5/26~2021/6/1,29,70,169,125,132,98,65,67,44,8
2021/6/2~2021/6/8,26,55,120,101,92,80,53,50,29,10
2021/6/9~2021/6/15,16,36,106,72,80,60,29,27,24,0
2021/6/16~2021/6/22,7,24,88,43,76,48,31,35,15,0
2021/6/23~2021/6/29,18,31,75,65,75,44,27,14,15,0
2021/6/30~2021/7/6,24,33,104,81,94,56,20,17,9,0
2021/7/7~2021/7/13,14,92,214,103,111,83,27,12,0,0
2021/7/14~2021/7/20,26,165,399,197,186,145,51,16,0,0
2021/7/21~2021/7/27,66,183,568,358,318,210,81,27,0,0
2021/7/28~2021/8/3,144,362,1082,657,550,408,96,44,16,0
2021/8/4~2021/8/10,241,463,1084,771,732,514,147,41,21,5
2021/8/11~2021/8/17,390,782,1769,1144,999,680,231,87,43,10
2021/8/18~2021/8/24,532,1295,2840,1493,1314,858,265,113,63,18
2021/8/25~2021/8/31,804,1481,2380,1644,1413,981,284,174,92,11
2021/9/1~2021/9/7,672,1132,1726,1274,1158,807,264,145,80,18
2021/9/8~2021/9/14,441,681,942,750,682,470,168,120,57,9
2021/9/15~2021/9/21,253,325,475,357,357,214,90,68,38,6
2021/9/22~2021/9/28,160,185,282,250,224,142,69,55,20,0
2021/9/29~2021/10/5,102,100,135,134,87,88,43,36,19,0
2021/10/6~2021/10/12,50,61,96,70,69,54,28,22,20,6
2021/10/13~2021/10/19,37,36,84,51,42,29,18,13,10,0
2021/10/20~2021/10/26,30,25,37,29,23,13,11,0,5,0
2021/10/27~2021/11/2,24,20,30,22,18,13,10,9,8,0
2021/11/3~2021/11/9,5,10,19,19,9,14,5,7,7,0
2021/11/10~2021/11/16,18,5,11,6,12,8,0,0,0,0
2021/11/17~2021/11/23,5,13,11,7,9,10,5,0,0,0
2021/11/24~2021/11/30,8,8,0,7,0,5,0,7,0,0
2021/12/1~2021/12/7,10,9,13,0,7,0,0,0,0,0
2021/12/8~2021/12/14,0,5,5,9,6,0,0,0,0,0
2021/12/15~2021/12/21,5,6,13,11,11,6,0,0,0,0
2021/12/22~2021/12/28,11,18,17,19,11,9,8,7,0,0
2021/12/29~2022/1/4,35,45,72,43,34,33,11,8,7,0
2022/1/5~2022/1/11,121,270,869,405,258,208,89,70,34,11
2022/1/12~2022/1/18,1045,1920,4182,1694,1359,1007,421,276,134,28
2022/1/19~2022/1/25,2912,4099,5201,3431,2900,2098,1047,679,383,81
2022/1/26~2022/2/1,4186,5539,4816,4088,4001,2824,1532,1260,651,157
2022/2/2~2022/2/8,4398,5493,4388,4418,4420,3105,1929,1640,910,207
2022/2/9~2022/2/15,4632,5794,4249,4295,4551,3203,1993,1782,1126,285
2022/2/16~2022/2/22,4856,5733,3961,4122,4294,2898,1702,1648,1104,249
2022/2/23~2022/3/1,3972,4325,3071,3171,3273,2178,1265,1062,799,165
